236,203
236,212
237,219
238,227
239,234
242,241
248,246
254,251
6,253
14,253
24,250
34,246
41,240
46,232
47,222
48,213
49,203
238,195
242,191
248,190
255,191
5,194
14,194
20,191
28,191
35,192
41,197
8,199
8,206
7,212
6,218
0,221
3,222
7,224
11,223
15,221
244,200
247,198
252,198
0,201
251,201
247,201
19,201
23,199
28,199
32,201
28,202
23,202
250,230
254,228
3,227
7,228
11,227
17,229
24,232
17,235
11,236
7,236
2,236
254,234
253,231
3,230
7,231
11,230
21,232
11,231
7,232
3,231
49,149
52,161
56,172
61,182
67,191
74,200
85,205
98,209
112,208
126,205
141,199
154,191
163,179
167,164
166,148
164,132
161,117
50,137
54,130
62,126
72,124
82,124
97,119
106,112
118,107
130,107
141,111
92,132
93,140
94,149
95,158
87,165
92,166
99,167
106,163
111,160
63,146
67,142
73,140
81,139
75,142
69,145
110,131
116,128
123,126
130,126
124,129
118,130
82,179
90,176
96,174
102,174
108,172
117,170
129,169
119,176
111,180
105,182
99,183
91,182
85,178
97,176
103,176
109,174
126,170
109,174
103,176
97,177
115,177
117,186
118,195
120,203
124,211
130,216
138,220
146,222
154,222
162,221
169,217
174,213
179,207
182,199
183,191
185,183
185,175
121,170
126,165
133,164
140,165
147,166
155,166
162,164
169,163
176,164
180,168
152,170
153,175
154,180
154,185
146,190
150,191
154,192
158,191
161,190
129,174
133,172
138,172
142,174
137,175
133,175
162,173
166,171
170,170
174,173
171,174
166,174
138,202
144,199
150,198
154,199
158,198
163,198
168,201
163,205
158,206
154,207
150,207
144,206
140,202
150,201
154,201
158,200
166,201
158,201
154,202
150,202
